id,type,amount,currency,sender,receiver,status,failure_reason,created_at
afac4375,deposit,5000,RUB,,86b478e7,completed,,2026-06-19T20:48:22.095728
123d9d00,deposit,3000,RUB,,59e88f72,completed,,2026-06-19T20:48:22.095728
2466685f,withdrawal,2000,RUB,86b478e7,,completed,,2026-06-19T20:48:22.095728
9b7d1517,withdrawal,5000,RUB,fcf7d7b1,,completed,,2026-06-19T20:48:22.095728
602120fd,transfer,10000,RUB,86b478e7,59e88f72,completed,,2026-06-19T20:48:22.095728
8d857296,transfer,5000,RUB,e5ed971e,2cc8a1ab,completed,,2026-06-19T20:48:22.095728
6d7d4eac,transfer,3000,RUB,59e88f72,86b478e7,completed,,2026-06-19T20:48:22.095728
b9604253,deposit,2000,RUB,,2cc8a1ab,completed,,2026-06-19T20:48:22.095728
bfbe7da0,withdrawal,1000,RUB,2cc8a1ab,,completed,,2026-06-19T20:48:22.095728
d8e000a6,transfer,4000,RUB,fcf7d7b1,86b478e7,completed,,2026-06-19T20:48:22.095728
891fbf7c,withdrawal,999999,RUB,86b478e7,,failed,Недостаточно средств,2026-06-19T20:48:22.095728
431ca55d,deposit,200000,RUB,,fcf7d7b1,failed,Операция заблокирована: высокий риск,2026-06-19T20:48:22.095728
